card_name,card_fees,rewards,lounge_access,milestone_benefit,card_rev_cond
MoneyBack+ Credit Card,Joining/Renewal Membership Fee – ₹500/- + Applicable Taxes,"CashPoints earned on your HDFC Bank MoneyBack+ Credit Card are valid only for 2 years from the date of transaction. e.g. if you receive Reward Points in August 2021, same will expire in August 2023;5X CashPoints on EMI spends at merchant locations;10X CashPoints on Amazon, BigBasket , Flipkart, Reliance Smart SuperStore & Swiggy;Get₹500 gift voucher on spends on₹50,000 per calendar quarter;2 CashPoints per ₹150 spent on other spends ( Excluding fuel, wallets loads/prepaid card loads & voucher purchases )",None,None,"Spend ₹50,000 or more in a year, before your Credit Card renewal date and get your renewal fee waived off"
Millennia Credit Card,"Joining/Renewal Membership Fee – ₹1,000/- + Applicable Taxes","1% cashback on all other spends (except Fuel) including EMI & Wallet transactions;CashPoint validity:CashBack as per product features will be credited in the form of Cash Points. Cash Points are valid only for 2 years from the date of accumulation e.g., if you receive CashPoints in May 2020, same will expire in May 2022.;₹1000 worth gift vouchers on spends of ₹1,00,000 and above in each calendar quarter",None,None,"Spend ₹1,00,000 or more in a year, before your Credit Card renewal date and get your renewal fee waived off ."
IndianOil HDFC Bank Credit Card,Joining/Renewal Membership Fee – Rs. 500/- plus Applicable Taxes,"Fuel Points are valid for a period of 2 years.;Earn 5% of your spends as Fuel Points on Groceries and Bill Payments (Max 100 Fuel Points per month on each category);Points + Pay- A maximum of 70% can be paid using Reward Points and the other 30% to be made by payment modes(Cash/Cards/UPI etc.);Earn 1 Fuel Point for every ₹150 spent on all other purchases;Earn 5% of your spends as Fuel Points at IndianOil outlets (Max 250 Fuel Points per month in first 6 months, Max 150 Fuel Points post 6 months from card issuance);Earn accelerated 5% Fuel Points on spends at IndianOil outlets, Groceries and Bill payments.(Accelerated 5% Fuel Points benefit will be given only for fuel transactions on IndianOil Retail Outlets. Fuel transactions on all other Fuel Outlets will get 1 Fuel Point for every Rs. 150/- spent)",None,None,None
Regalia Gold Credit Card,Joining/ Renewal Membership Fee of Rs. 2500 + Applicable Taxes.,"4 Reward Points on every Rs.150 spent (On retail* spends);₹ 5,000 worth flight vouchers on annual spends of Rs. 5 lakh and an additional voucher of Rs. 5000 on spends of Rs. 7.5 lakhs.;Earn 20 Reward Points on every Rs.150 retail* spends at Marks & Spencer, Myntra, Reliance Digital, Nykaa!;Foreign Currency Markup : 2% on all your foreign currency spends.;₹ 1,500 worth vouchers on quarterly spends of Rs. 1.5 lakh;5X Reward Points on spends at Marks & Spencer, Myntra, Nykaa & Reliance Digital!;Earn 4 Reward Points on every Rs.150 retail* spends including Insurance, Utilities and Education","Using Priority Pass, you and your add-on member can together avail up to 6 Complimentary Lounge Access per calendar year, outside India.;If you exceed the 6 Complimentary visits, you will be charged at US $27 + GST per visit;If you use your Priority Pass for lounge access within India, you will be charged at US $27 + GST per visit;12 complimentary access within India (both at domestic and international terminals) using the HDFC Bank Regalia Gold Credit Card.",";Get ₹ 1,500 worth vouchers from Marriott, Myntra, Marks & Spencer or Reliance Digital when you spend Rs. 1.5 Lakhs in every calendar quarter.;Get additional ₹ 5,000 worth flight vouchers when you spend Rs. 7.5 Lakhs spends in an anniversary year;Get ₹ 5,000 worth flight vouchers when you spend Rs. 5 Lakhs spends in an anniversary year",None
IRCTC HDFC Bank Credit Card,Joining/Renewal Membership Fee – Rs. 500/- + Applicable Taxes,None,None,,"Spend Rs. 1,50,000 or more in a year, before your Credit Card renewal date and get your renewal fee waived off ."
Tata Neu Plus HDFC Bank Credit Card,Joining/Renewal Membership Fee – ₹499/- + Applicable Taxes,"2% back as NeuCoins on Non-EMI Spends on Tata Neu and partner Tata Brands. For list of eligible partner brandsclick here;1% back as NeuCoins on Non-Tata Brand Spends and any Merchant EMI Spends;1. Rental and Government related transactions will not earn reward points. Till 31st Dec 2022 NeuCoins earned on property management services including rent, will have a maximum capping of 500 per month",Domestic Lounge Access4 Complimentary Domestic Lounge Access per calendar year (1 in a quarter). ₹2 (VISA / RuPay) will be charged to the Credit Card for the Lounge Access,None,"Spend ₹1,00,000 or more in a year, before your Credit Card renewal date and get your renewal fee waived off."
Tata Neu Infinity HDFC Bank Credit Card,"Joining/Renewal Membership Fee – ₹1,499/- + Applicable Taxes","1.5% back as NeuCoins on Non-Tata Brand Spends and any Merchant EMI Spends;1. Rental and Government related transactions will not earn reward points. Till 31st Dec 2022 NeuCoins earned on property management services including rent, will have a maximum capping of 1,000 per month;5% back as NeuCoins on Non-EMI Spends on Tata Neu and partner Tata Brands. For list of eligible partner brandsclick here","B. International Lounge Access – VISA CardUsing Priority Pass, you and your add on member can together avail up to 4 Complimentary Lounge Access per calendar year (1 per Quarter), outside India.If you exceed the 4 Complimentary (1 per Quarter) visits, you will be charged at US $27 + GST per visitAll guests visits using Priority pass would be charged at US $27 + GST per visit per guest;4 Complimentary Lounge Access per calendar year (1 per Quarter), outside India. Customers will be charged a transaction fee of $3.25 on their Credit card towards complimentary lounge access, same shall be reversed. Visit exceeding the complimentary quota will be allowed at the discretion of lounge and will also be chargeable by the lounge.",None,"Spend ₹3,00,000 or more in a year, before your Credit Card renewal date and get your renewal fee waived off."
HDFC Bank UPI RuPay Credit Card,Joining/Renewal Membership Fee – ₹250/- + Applicable Taxes,"CashPoints earned on your HDFC Bank UPI RuPay Credit Card are valid only for 2 years from the date of transaction. e.g. if you receive Reward Points in August 2021, same will expire in August 2023;1% Cashpoints on other spends (Excluding Rent, Wallet loads, EMI, Fuel & Government categories) (Maximum of 500 Points can be earned in a calendar month);2% Cashpoints on Utility spends (Maximum of 500 Points can be earned in a calendar month);3% Cashpoints on Groceries, SuperMarket & Dining spends &PayZapp transactions. (Maximum of 500 Points can be earned in a calendar month)",None,None,"Spend ₹25,000 or more in an annual year, before your Credit Card renewal date and get your renewal fee waived offfrom 2nd year onwards"
INFINIA Metal Edition,"Joining/Renewal Membership Fee – Rs. 12,500 + Applicable Taxes;Joining/Renewal Membership Fee – Rs. 10,000 + Applicable Taxes.","5 Reward Points for every ₹ 150 spent;Earn 5 Reward Points on every Rs.150retail* spends including Insurance, Utilitiesand Education;Earn up to 10timesReward Points* on your travel and shopping spends onSmartbuy","Enjoy unlimited complimentary lounge access at airports within and outside India at 1,000+ airport lounges using Priority Pass.",None,Spend 8 lakhs or more in the preceding 12 months and get renewal membership fee waived off for next year.;Spend 10 lakhs or more in the preceding 12 months and get renewal membership fee waived off for next year.
Diners Club Black Credit Card,"Joining/Renewal Membership Fee – Rs. 10,000/- plus Applicable Taxes","Up to 10X Reward Points via SmartBuy and 2X on weekend dining;Upto 10X Reward Points on spends via SmartBuy;Complimentary Ola cabs | cult.fit Live | BookMyShow | TataCliQ vouchers on spends of over Rs. 80,000 every month;5 Reward Points for every Rs 150 spent;Foreign Currency Markup:2% on all your foreign currency spends.(These charges will be billed on your subsequent statement within 60 days from date of visit. Currency conversion rate is applicable as on the date of settlement);Earn 5 Reward Points for every ₹ 150/- retail spent",Unlimited Airport lounge access to 1000+ Lounges in India and worldwide for primary and add-on card members.,";HDFC Bank Diners Club Black Credit Card holders can select any 2 benefits amongst cult.fit Live 1 month membership or BookMyShow or TataCLiQ or Ola cabs vouchers worth Rs. 500 every month on spends of Rs. 80,000.(T&C Apply)",Spend Rs. 5 Lakhs in 12 Months and get Renewal Fee waived for next renewal year
Freedom Credit Card,Joining/Renewal Membership Fee – ₹500/- + Applicable Taxes,"5X CashPoints on EMI spends at merchant locations ( Maximum of 2,500 CashPoints can be earned in a calendar month );CashPoints earned on your HDFC Bank FreedomCredit Cardare valid only for 2 years from the date of transaction. e.g. if you receive Reward Points in August 2021, same will expire in August 2023;Lower interest rate of 0.99% on for first 90 days on non-EMI spends from card issuance date. ( Not applicable on Insta loan, Insta Jumbo Loan, SmartEMI, EasyEMI, Balance transfer or Cash transactions );10X CashPoints on your favourite merchants - Big Basket, BookMyshow, OYO, Swiggy & Uber ( Maximum of 2,500 CashPoints can be earned in a calendar month );1 CashPoint for every Rs.150 on other spends ( Excluding fuel, Wallet / Prepaid Card loads or Voucher Purchases )",None,None,"Spend ₹50,000 or more in a year, before your Credit Card renewal date and get your renewal fee waived off"
Shoppers Stop HDFC Bank Credit Card,None,Earn First Citizen Points for every ₹150 spent on all retail transactions.,None,Earn 2000 First Citizen Points on spending ₹2 Lakhs annually,None
Shoppers Stop Black HDFC Bank Credit Card,"Joining/Renewal Membership fee will be ₹4,500 + applicable taxes",Earn First Citizen Points for every ₹150 spent on all retail transactions.,8 complimentary international lounge access per calendar year (2 per quarter),None,None
Diners Club Privilege Credit Card,Joining/Renewal Membership Fee – Rs. 2500/- plus Applicable Taxes,"4 Reward Points for every ₹ 150 spent;Complimentary Ola cabs | cult.fit Live | BookMyShow | TataCliQ vouchers on spends of over Rs. 40,000 every month;Earn 4 Reward Points for every ₹ 150/- retail spent;2X Reward Points on weekend dining;Upto 10X RP on spends via SmartBuy;Foreign Currency Markup:2% on all your foreign currency spends.(These charges will be billed on your subsequent statement within 60 days of date of visit. Currency conversion rate is applicable as on the date of settlement)",12 Complimentary Airport lounge access to 1000+ Lounges in India and worldwide for primary and add-on card members in a calendar year.,";HDFC Bank Diners Club Privilege Credit Card holders can select any 1 benefit amongst cult.fit Live 1 month membership or BookMyShow or TataCLiQ or Ola cabs vouchers worth Rs. 500 every month on spends of Rs. 40,000(T&CApply)",None
Paytm HDFC Bank Credit Card.,Monthly Membership Fee: Rs. 49 + GST;Annual Membership Fee: Rs. 500 + GST,2% Cashback on all other Select Paytm Spends. Max. Cap per Calendar Month - Rs. 500;1% Cashback on all other Retail Spends Max. Cap per Calendar Month - Rs.1000,None,"Earn upto Rs. 1200 cashback annually -1% Cashback upon spending Rs.10,000 every month (Non-EMI, Non-Wallet and Non-Rental Spends) – [Capped at Rs.100 per month]","Renewal Year Fee waived upon spending Rs. 50,000 (Non-EMI spends) in the 12 months period;First Year Fee waived upon spending Rs. 30,000 (Non-EMI spends) within the first 90 days;Monthly Fee waived off on retail spends of Rs.5,000 in a month(Non-EMI Spends)"
